time;count
0.015916;16
0.031832;46
0.047748;157
0.063664;130
0.07958;156
0.095496;189
0.111412;102
0.127328;52
0.143244;47
0.15916;25
0.175076;20
0.190992;15
0.206908;7
0.222824;9
0.23874;1
0.254656;2
0.270572;1
0.286488;4
0.302404;4
0.31832;4
0.334236;1
0.350152;2
0.366068;2
0.381984;0
0.3979;3
0.413816;0
0.429732;1
0.445648;2
0.461564;1
0.47748;1
0.493396;0
0.509312;0
0.525228;0
0.541144;0
0.55706;0
0.572976;0
0.588892;0
0.604808;0
0.620724;0
0.63664;1
0.652556;2
0.668472;0
0.684388;0
0.700304;0
0.71622;0
0.732136;0
0.748052;0
0.763968;1
0.779884;0
0.7958;0
0.811716;0
0.827632;0
0.843548;0
0.859464;0
0.87538;0
0.891296;0
0.907212;0
0.923128;0
0.939044;0
0.95496;1
0.970876;0
0.986792;0
1.00271;0
1.01862;0
1.03454;0
1.05046;0
1.06637;0
1.08229;0
1.0982;0
1.11412;0
1.13004;0
1.14595;0
1.16187;0
1.17778;0
1.1937;1
