time;count
0.000369333;38
0.000738667;74
0.001108;16
0.00147733;5
0.00184667;4
0.002216;2
0.00258533;1
0.00295467;0
0.003324;1
0.00369333;0
0.00406267;0
0.004432;0
0.00480133;0
0.00517067;0
0.00554;0
0.00590933;0
0.00627867;0
0.006648;0
0.00701733;0
0.00738667;0
0.007756;0
0.00812533;0
0.00849467;0
0.008864;0
0.00923333;0
0.00960267;0
0.009972;0
0.0103413;0
0.0107107;0
0.01108;0
0.0114493;0
0.0118187;2
0.012188;0
0.0125573;0
0.0129267;0
0.013296;0
0.0136653;1
0.0140347;0
0.014404;0
0.0147733;1
0.0151427;1
0.015512;0
0.0158813;1
0.0162507;1
0.01662;1
0.0169893;0
0.0173587;0
0.017728;0
0.0180973;0
0.0184667;0
0.018836;0
0.0192053;0
0.0195747;0
0.019944;0
0.0203133;2
0.0206827;0
0.021052;0
0.0214213;0
0.0217907;1
0.02216;1
0.0225293;1
0.0228987;0
0.023268;1
0.0236373;0
0.0240067;0
0.024376;0
0.0247453;0
0.0251147;1
0.025484;0
0.0258533;0
0.0262227;0
0.026592;0
0.0269613;0
0.0273307;1
0.0277;1
