time;count
0.0502453;457
0.100491;3032
0.150736;2054
0.200981;947
0.251227;534
0.301472;291
0.351717;154
0.401963;112
0.452208;72
0.502453;39
0.552699;44
0.602944;39
0.653189;17
0.703435;13
0.75368;13
0.803925;13
0.854171;10
0.904416;13
0.954661;5
1.00491;7
1.05515;9
1.1054;9
1.15564;6
1.20589;2
1.25613;2
1.30638;1
1.35662;3
1.40687;1
1.45711;2
1.50736;1
1.55761;0
1.60785;1
1.6581;3
1.70834;1
1.75859;0
1.80883;2
1.85908;0
1.90932;2
1.95957;0
2.00981;0
2.06006;1
2.1103;0
2.16055;0
2.21079;0
2.26104;0
2.31129;0
2.36153;0
2.41178;0
2.46202;0
2.51227;1
2.56251;0
2.61276;0
2.663;0
2.71325;0
2.76349;0
2.81374;0
2.86398;1
2.91423;0
2.96447;0
3.01472;0
3.06497;0
3.11521;0
3.16546;0
3.2157;0
3.26595;0
3.31619;0
3.36644;0
3.41668;0
3.46693;0
3.51717;0
3.56742;0
3.61766;0
3.66791;0
3.71815;0
3.7684;1
