time;count
0.00148533;540
0.00297067;18
0.004456;10
0.00594133;13
0.00742667;15
0.008912;42
0.0103973;26
0.0118827;21
0.013368;42
0.0148533;41
0.0163387;41
0.017824;20
0.0193093;26
0.0207947;6
0.02228;10
0.0237653;8
0.0252507;7
0.026736;7
0.0282213;1
0.0297067;2
0.031192;2
0.0326773;4
0.0341627;3
0.035648;1
0.0371333;0
0.0386187;2
0.040104;3
0.0415893;0
0.0430747;2
0.04456;1
0.0460453;1
0.0475307;0
0.049016;0
0.0505013;0
0.0519867;1
0.053472;0
0.0549573;0
0.0564427;1
0.057928;0
0.0594133;1
0.0608987;0
0.062384;0
0.0638693;0
0.0653547;1
0.06684;0
0.0683253;0
0.0698107;0
0.071296;0
0.0727813;1
0.0742667;0
0.075752;0
0.0772373;0
0.0787227;0
0.080208;0
0.0816933;0
0.0831787;0
0.084664;0
0.0861493;0
0.0876347;0
0.08912;0
0.0906053;0
0.0920907;0
0.093576;0
0.0950613;0
0.0965467;0
0.098032;0
0.0995173;0
0.101003;0
0.102488;1
0.103973;0
0.105459;0
0.106944;0
0.108429;0
0.109915;0
0.1114;1
