time;count
0.001904;0
0.003808;0
0.005712;0
0.007616;0
0.00952;0
0.011424;0
0.013328;0
0.015232;0
0.017136;0
0.01904;1
0.020944;1
0.022848;0
0.024752;18
0.026656;34
0.02856;15
0.030464;16
0.032368;5
0.034272;7
0.036176;6
0.03808;1
0.039984;6
0.041888;1
0.043792;2
0.045696;1
0.0476;2
0.049504;2
0.051408;2
0.053312;0
0.055216;1
0.05712;0
0.059024;0
0.060928;0
0.062832;3
0.064736;1
0.06664;1
0.068544;3
0.070448;0
0.072352;1
0.074256;0
0.07616;0
0.078064;0
0.079968;0
0.081872;0
0.083776;0
0.08568;1
0.087584;0
0.089488;0
0.091392;0
0.093296;0
0.0952;0
0.097104;0
0.099008;0
0.100912;0
0.102816;0
0.10472;0
0.106624;0
0.108528;0
0.110432;0
0.112336;0
0.11424;0
0.116144;1
0.118048;0
0.119952;0
0.121856;0
0.12376;0
0.125664;0
0.127568;0
0.129472;0
0.131376;0
0.13328;0
0.135184;1
0.137088;0
0.138992;0
0.140896;0
0.1428;1
