time;count
0.008016;10
0.016032;7
0.024048;35
0.032064;62
0.04008;68
0.048096;55
0.056112;61
0.064128;68
0.072144;69
0.08016;60
0.088176;75
0.096192;67
0.104208;69
0.112224;88
0.12024;44
0.128256;33
0.136272;22
0.144288;15
0.152304;12
0.16032;14
0.168336;8
0.176352;8
0.184368;7
0.192384;8
0.2004;5
0.208416;3
0.216432;2
0.224448;5
0.232464;0
0.24048;1
0.248496;3
0.256512;3
0.264528;0
0.272544;2
0.28056;0
0.288576;0
0.296592;1
0.304608;0
0.312624;0
0.32064;0
0.328656;0
0.336672;1
0.344688;0
0.352704;1
0.36072;1
0.368736;0
0.376752;0
0.384768;0
0.392784;0
0.4008;0
0.408816;0
0.416832;0
0.424848;0
0.432864;0
0.44088;1
0.448896;0
0.456912;0
0.464928;0
0.472944;0
0.48096;0
0.488976;1
0.496992;0
0.505008;0
0.513024;0
0.52104;1
0.529056;0
0.537072;0
0.545088;0
0.553104;0
0.56112;0
0.569136;1
0.577152;0
0.585168;0
0.593184;0
0.6012;1
