frame;time;average
0;5;0
1;0.1532;0.1532
2;0.1401;0.14665
3;0.1392;0.144167
4;0.1382;0.142675
5;0.1407;0.14228
6;0.1388;0.1417
7;0.1385;0.141243
8;0.1407;0.141175
9;0.1398;0.141022
10;0.1384;0.14076
11;0.1516;0.141745
12;0.1385;0.141475
13;0.1378;0.141192
14;0.139;0.141036
15;0.1409;0.141027
16;0.1406;0.141
17;0.0005;0.132735
18;0.0001;0.125367
19;0.0001;0.118774
20;0.021;0.113885
21;0.0001;0.108467
22;0.0001;0.103541
23;0.0002;0.0990478
24;0.0002;0.0949292
25;0.1539;0.097288
26;0.1361;0.0987808
27;0.1608;0.101078
28;0.1367;0.10235
29;0.1405;0.103666
30;0.1594;0.105523
31;0.1458;0.106823
32;0.1348;0.107697
33;0.2743;0.112745
34;0.1402;0.113553
35;0.141;0.114337
36;0.2164;0.117172
37;0.1388;0.117757
38;0.1544;0.118721
39;0.2266;0.121487
40;0.1498;0.122195
41;0.1498;0.122868
42;0.1343;0.12314
43;0.1367;0.123456
44;0.1405;0.123843
45;0.1508;0.124442
46;0.1419;0.124822
47;0.1429;0.125206
48;0.1346;0.125402
49;0.1505;0.125914
50;0.1851;0.127098
51;0.1497;0.127541
52;0.1345;0.127675
53;0.1422;0.127949
54;0.1422;0.128213
55;0.1385;0.1284
56;0.1632;0.129021
57;0.1353;0.129132
58;0.1509;0.129507
59;0.204;0.130769
60;0.1436;0.130983
61;0.1345;0.131041
62;0.1409;0.1312
63;0.151;0.131514
64;0.1574;0.131919
65;0.1513;0.132217
66;0.1267;0.132133
67;0.1423;0.132285
68;0.1346;0.132319
69;0.1518;0.132601
70;0.1483;0.132826
71;0.1378;0.132896
72;0.1394;0.132986
73;0.127;0.132904
74;0.1272;0.132827
75;0.1613;0.133207
76;0.1267;0.133121
77;0.1263;0.133032
78;0.157;0.13334
79;0.1465;0.133506
80;0.1474;0.13368
81;0.1382;0.133736
82;0.1339;0.133738
83;0.1343;0.133745
84;0.2236;0.134814
85;0.1634;0.135151
86;0.1263;0.135048
87;0.1424;0.135132
88;0.37;0.137801
89;0.1339;0.137757
90;0.1649;0.138059
91;0.1867;0.138593
92;0.1354;0.138559
93;0.162;0.138811
94;0.139;0.138813
95;0.1343;0.138765
96;0.2419;0.13984
97;0.1476;0.13992
98;0.137;0.13989
99;0.1638;0.140131
100;0.1266;0.139996
101;0.1272;0.139869
102;0.1362;0.139833
103;0.2097;0.140512
104;0.1349;0.140458
105;0.1524;0.140571
106;0.1515;0.140675
107;0.1598;0.140853
108;0.2624;0.141979
109;0.1452;0.142008
110;0.147;0.142054
111;0.1348;0.141988
112;0.1345;0.141921
113;0.1544;0.142032
114;0.1545;0.142141
115;0.1536;0.142241
116;0.1372;0.142197
117;0.1348;0.142134
118;0.2089;0.1427
119;0.1443;0.142713
120;0.1346;0.142646
121;0.1504;0.14271
122;0.1446;0.142725
123;0.1655;0.142911
124;0.1856;0.143255
125;0.1344;0.143184
126;0.1265;0.143052
127;0.1505;0.14311
128;0.1452;0.143127
129;0.1483;0.143167
130;0.1369;0.143118
131;0.134;0.143049
132;0.1272;0.142929
133;0.1503;0.142984
134;0.1464;0.14301
135;0.1419;0.143001
136;0.2428;0.143735
137;0.1275;0.143617
138;0.1353;0.143557
139;0.134;0.143488
140;0.1342;0.143421
141;0.1432;0.14342
142;0.1737;0.143633
143;0.1442;0.143637
144;0.1281;0.143529
145;0.1615;0.143653
146;0.133;0.14358
147;0.1286;0.143478
148;0.1276;0.143371
149;0.1498;0.143414
150;0.1569;0.143504
151;0.1349;0.143447
152;0.1404;0.143427
153;0.1368;0.143384
154;0.1345;0.143326
155;0.1268;0.143219
156;0.1508;0.143268
157;0.147;0.143292
158;0.1361;0.143246
159;0.151;0.143295
160;0.1374;0.143258
161;0.1272;0.143158
162;0.1497;0.143199
163;0.143;0.143198
164;0.1599;0.143299
165;0.137;0.143261
166;0.1276;0.143167
167;0.1416;0.143157
168;0.1364;0.143117
169;0.1345;0.143066
170;0.3836;0.144481
171;0.1932;0.144766
172;0.1368;0.14472
173;0.1373;0.144677
174;0.1441;0.144674
175;0.1352;0.144619
176;0.1341;0.14456
177;0.1499;0.14459
178;0.1473;0.144605
179;0.1353;0.144553
180;0.141;0.144533
181;0.1357;0.144485
182;0.1345;0.14443
183;0.1518;0.14447
184;0.1384;0.144437
185;0.1384;0.144404
186;0.1265;0.144308
187;0.1405;0.144288
188;0.1309;0.144216
189;0.1466;0.144229
190;0.1499;0.144259
191;0.1463;0.14427
192;0.1369;0.144231
193;0.1271;0.144142
194;0.1273;0.144056
195;0.1271;0.143969
196;0.1613;0.144057
197;0.1266;0.143969
198;0.2301;0.144404
199;0.1386;0.144374
200;0.1427;0.144366
201;0.1362;0.144325
202;0.134;0.144274
203;0.1457;0.144281
204;0.1288;0.144205
205;0.1268;0.14412
206;0.1494;0.144146
207;0.146;0.144155
208;0.1374;0.144123
209;0.1265;0.144038
210;0.1263;0.143954
211;0.1273;0.143875
212;0.1266;0.143793
213;0.1267;0.143713
214;0.1416;0.143703
215;0.1382;0.143678
216;0.1441;0.14368
217;0.1377;0.143652
218;0.1338;0.143607
219;0.1364;0.143574
220;0.1273;0.1435
221;0.1656;0.1436
222;0.1266;0.143523
223;0.2614;0.144052
224;0.1389;0.144029
225;0.1454;0.144035
226;0.1292;0.143969
227;0.1265;0.143893
228;0.1612;0.143968
229;0.1523;0.144005
230;0.1342;0.143962
231;0.2325;0.144345
232;0.1678;0.144447
233;0.1571;0.144501
234;0.1326;0.14445
235;0.1605;0.144518
236;0.1268;0.144443
237;0.143;0.144437
238;0.1345;0.144395
239;0.1515;0.144425
240;0.1412;0.144412
241;0.1358;0.144376
242;0.1479;0.14439
243;0.1267;0.144318
244;0.1287;0.144254
245;0.2802;0.144809
246;0.1517;0.144837
247;0.1498;0.144857
248;0.1361;0.144821
249;0.1364;0.144788
250;0.2152;0.145069
251;0.1403;0.14505
252;0.1412;0.145035
253;0.1413;0.14502
254;0.1436;0.145015
255;0.1362;0.14498
256;0.136;0.144945
257;0.1341;0.144903
258;0.1314;0.14485
259;0.1264;0.144779
260;0.1417;0.144767
261;0.148;0.14478
262;0.1405;0.144763
263;0.1399;0.144745
264;0.1384;0.144721
265;0.1814;0.144859
266;0.1363;0.144827
267;0.1872;0.144986
268;0.1469;0.144993
269;0.1358;0.144959
270;0.134;0.144918
271;0.1737;0.145024
272;0.1339;0.144983
273;0.1515;0.145007
274;0.1519;0.145032
275;0.1412;0.145019
276;0.1386;0.144995
277;0.1497;0.145012
278;0.1803;0.145139
279;0.1547;0.145173
280;0.1381;0.145148
281;0.1267;0.145083
282;0.2653;0.145509
283;0.1416;0.145495
284;0.1348;0.145457
285;0.1503;0.145474
286;0.154;0.145504
287;0.1481;0.145513
288;0.1393;0.145492
289;0.3523;0.146207
290;0.1359;0.146172
291;0.1351;0.146134
292;0.1269;0.146068
293;0.1418;0.146053
294;0.1422;0.14604
295;0.132;0.145993
296;0.1268;0.145928
297;0.142;0.145914
298;0.1706;0.145997
299;0.1377;0.14597
300;0.1451;0.145967
301;0.1272;0.145904
302;0.1265;0.14584
303;0.2347;0.146133
304;0.1381;0.146107
305;0.1296;0.146053
306;0.1333;0.146011
307;0.1295;0.145957
308;0.1764;0.146056
309;0.1508;0.146072
310;0.1364;0.14604
311;0.1399;0.146021
312;0.1331;0.145979
313;0.1289;0.145925
314;0.1263;0.145862
315;0.1511;0.145879
316;0.1432;0.14587
317;0.1312;0.145824
318;0.1463;0.145825
319;0.1285;0.145771
320;0.1267;0.145712
321;0.1509;0.145728
322;0.344;0.146343
323;0.1407;0.146326
324;0.1905;0.146462
325;0.1294;0.14641
326;0.1265;0.146349
327;0.1508;0.146362
328;0.1456;0.14636
329;0.1339;0.146322
330;0.1277;0.146266
331;0.1345;0.14623
332;0.1266;0.146171
333;0.1484;0.146178
334;0.141;0.146162
335;0.1422;0.14615
336;0.1426;0.14614
337;0.1521;0.146158
338;0.1268;0.1461
339;0.1498;0.146111
340;0.1463;0.146112
341;0.2054;0.146286
342;0.1373;0.146259
343;0.1621;0.146306
344;0.2207;0.146522
345;0.2319;0.146769
346;0.1431;0.146759
347;0.1362;0.146728
348;0.1343;0.146693
349;0.1334;0.146654
350;0.1359;0.146624
351;0.1342;0.146588
352;0.1956;0.146728
353;0.1366;0.146699
354;0.2211;0.146909
355;0.1353;0.146876
356;0.133;0.146837
357;0.1518;0.146851
358;0.1975;0.146993
359;0.1433;0.146982
360;0.1431;0.146972
361;0.1342;0.146936
362;0.141;0.14692
363;0.1403;0.146902
364;0.2324;0.147137
365;0.1347;0.147102
366;0.1278;0.14705
367;0.161;0.147088
368;0.1348;0.147054
369;0.1355;0.147023
370;0.4201;0.147761
371;0.1354;0.147728
372;0.1276;0.147674
373;0.127;0.147618
374;0.1325;0.147578
375;0.1289;0.147528
376;0.1266;0.147472
377;0.2101;0.147638
378;0.137;0.14761
379;0.1315;0.147568
380;0.1281;0.147517
381;0.127;0.147463
382;0.1315;0.147421
383;0.1276;0.147369
384;0.2086;0.147529
385;0.1562;0.147551
386;0.1526;0.147564
387;0.1521;0.147576
388;0.2569;0.147858
389;0.1274;0.147805
390;0.1269;0.147752
391;0.2699;0.148064
392;0.1388;0.14804
393;0.1271;0.147987
394;0.1276;0.147935
395;0.1343;0.147901
396;0.1964;0.148023
397;0.1367;0.147995
398;0.127;0.147942
399;0.1269;0.147889
400;0.1316;0.147849
401;0.2116;0.148007
402;0.1708;0.148064
403;0.1343;0.14803
404;0.2115;0.148187
405;0.1381;0.148162
406;0.2006;0.148291
407;0.1443;0.148282
408;0.1421;0.148266
409;0.1416;0.14825
410;0.1361;0.14822
411;0.1914;0.148326
412;0.1495;0.148328
413;0.1344;0.148295
414;0.1684;0.148343
415;0.2516;0.148592
416;0.1501;0.148596
417;0.1412;0.148578
418;0.1273;0.148527
419;0.1272;0.148476
420;0.1388;0.148453
421;0.1494;0.148455
422;0.15;0.148459
423;0.1413;0.148442
424;0.1351;0.148411
425;0.15;0.148414
426;0.1675;0.148459
427;0.1409;0.148441
428;0.1364;0.148413
429;0.1412;0.148397
430;0.1907;0.148495
431;0.1357;0.148465
432;0.1407;0.148447
433;0.1342;0.148414
434;0.1495;0.148417
435;0.1424;0.148403
436;0.2125;0.14855
437;0.1688;0.148596
438;0.1354;0.148566
439;0.1344;0.148534
440;0.1348;0.148503
441;0.1342;0.14847
442;0.2107;0.148611
443;0.1353;0.148581
444;0.1371;0.148555
445;0.1674;0.148598
446;0.1345;0.148566
447;0.1344;0.148534
448;0.1343;0.148502
449;0.1446;0.148494
450;0.1612;0.148522
451;0.1528;0.148531
452;0.201;0.148648
453;0.1349;0.148617
454;0.135;0.148587
455;0.1357;0.148559
456;0.1401;0.14854
457;0.1512;0.148546
458;0.1426;0.148533
459;0.1774;0.148596
460;0.2732;0.148867
461;0.1342;0.148835
462;0.2038;0.148954
463;0.1349;0.148924
464;0.2143;0.149065
465;0.1432;0.149052
466;0.1358;0.149024
467;0.2366;0.149211
468;0.1398;0.149191
469;0.1349;0.149161
470;0.134;0.149128
471;0.2581;0.14936
472;0.4517;0.15
473;0.1427;0.149985
474;0.1378;0.149959
475;0.1679;0.149997
476;0.1478;0.149992
477;0.1263;0.149943
478;0.1266;0.149894
479;0.1325;0.149857
480;0.192;0.149945
481;0.1804;0.150009
482;0.1423;0.149993
483;0.1683;0.15003
484;0.1373;0.150004
485;0.1935;0.150094
486;0.1344;0.150062
487;0.1269;0.150014
488;0.2871;0.150295
489;0.1388;0.150271
490;0.1485;0.150268
491;0.3367;0.150647
492;0.1382;0.150622
493;0.1343;0.150589
494;0.1357;0.150559
495;0.1345;0.150526
496;0.2291;0.150685
497;0.1394;0.150662
498;0.1283;0.150617
499;0.2749;0.150866
500;0.1265;0.150818
501;0.1275;0.150771
502;0.1266;0.150723
503;0.1315;0.150685
504;0.2071;0.150797
505;0.1418;0.150779
506;0.2451;0.150965
507;0.1684;0.151
508;0.1354;0.150969
509;0.1345;0.150937
510;0.134;0.150903
511;0.1351;0.150872
512;0.17;0.15091
513;0.1486;0.150905
514;0.1677;0.150938
515;0.1436;0.150924
516;0.1382;0.150899
517;0.1381;0.150874
518;0.1391;0.150852
519;0.1536;0.150857
520;0.292;0.151128
521;0.1545;0.151135
522;0.1431;0.151119
523;0.1431;0.151104
524;0.1351;0.151073
525;0.1414;0.151055
526;0.1427;0.151039
527;0.1677;0.151071
528;0.1344;0.151039
529;0.1374;0.151013
530;0.1342;0.150982
531;0.1346;0.150951
532;0.1345;0.15092
533;0.1513;0.150921
534;0.1389;0.150898
535;0.1975;0.150985
536;0.1273;0.150941
537;0.1266;0.150896
538;0.161;0.150914
539;0.127;0.15087
540;0.1263;0.150825
541;0.2361;0.150982
542;0.1605;0.151
543;0.1445;0.150988
544;0.1341;0.150957
545;0.1353;0.150928
546;0.134;0.150897
547;0.1344;0.150867
548;0.136;0.15084
549;0.1344;0.15081
550;0.1344;0.15078
551;0.1492;0.150777
552;0.1439;0.150765
553;0.1344;0.150735
554;0.1347;0.150706
555;0.1344;0.150677
556;0.1341;0.150647
557;0.1358;0.15062
558;0.134;0.150591
559;0.1345;0.150562
560;0.1493;0.150559
561;0.1604;0.150577
562;0.2443;0.150744
563;0.1273;0.150702
564;0.1266;0.150659
565;0.1263;0.150616
566;0.1467;0.150609
567;0.1339;0.15058
568;0.134;0.150551
569;0.1507;0.150551
570;0.1413;0.150535
571;0.1585;0.150549
572;0.2614;0.150742
573;0.1266;0.1507
574;0.127;0.150659
575;0.1265;0.150617
576;0.1264;0.150575
577;0.1265;0.150533
578;0.1563;0.150543
579;0.1529;0.150547
580;0.1733;0.150587
581;0.1382;0.150565
582;0.1386;0.150545
583;0.1386;0.150524
584;0.14;0.150506
585;0.1384;0.150485
586;0.1384;0.150465
587;0.1634;0.150487
588;0.152;0.150489
589;0.1587;0.150503
590;0.1262;0.150462
591;0.1406;0.150446
592;0.2166;0.150557
593;0.2267;0.150686
594;0.1424;0.150672
595;0.1491;0.150669
596;0.1596;0.150684
597;0.1513;0.150685
598;0.1588;0.150699
599;0.1264;0.150658
600;0.1605;0.150675
601;0.127;0.150635
602;0.1265;0.150595
603;0.1711;0.150629
604;0.1263;0.150589
605;0.1817;0.15064
606;0.1431;0.150628
607;0.1684;0.150657
608;0.1341;0.15063
609;0.1681;0.150658
610;0.1343;0.150632
611;0.1342;0.150605
612;0.1344;0.150578
613;0.1343;0.150552
614;0.1663;0.150577
615;0.2735;0.150777
616;0.1583;0.150789
617;0.1458;0.150781
618;0.1264;0.150742
619;0.1265;0.150703
620;0.161;0.150719
621;0.1268;0.150681
622;0.1584;0.150693
623;0.1361;0.15067
624;0.159;0.150683
625;0.1307;0.150651
626;0.1268;0.150613
627;0.1267;0.150575
628;0.1425;0.150562
629;0.1266;0.150524
630;0.2023;0.150606
631;0.1351;0.150582
632;0.1267;0.150544
633;0.1325;0.150515
634;0.1268;0.150478
635;0.1625;0.150497
636;0.1267;0.150459
637;0.1265;0.150422
638;0.1425;0.150409
639;0.1446;0.1504
640;0.1349;0.150376
641;0.1362;0.150354
642;0.1341;0.150329
643;0.1346;0.150304
644;0.1356;0.150281
645;0.1344;0.150257
646;0.1341;0.150232
647;0.1588;0.150245
648;0.1542;0.150251
649;0.1343;0.150227
650;0.1342;0.150202
651;0.1673;0.150228
652;0.1343;0.150204
653;0.1343;0.150179
654;0.1359;0.150157
655;0.1345;0.150134
656;0.1515;0.150136
657;0.1437;0.150126
658;0.1347;0.150102
659;0.1344;0.150079
660;0.136;0.150057
661;0.134;0.150033
662;0.1892;0.150092
663;0.1669;0.150117
664;0.209;0.150206
665;0.1511;0.150208
666;0.1365;0.150187
667;0.1271;0.150152
668;0.1265;0.150117
669;0.1268;0.150082
670;0.1268;0.150047
671;0.1587;0.15006
672;0.1261;0.150025
673;0.1265;0.14999
674;0.1425;0.149978
675;0.1524;0.149982
676;0.1429;0.149972
677;0.1424;0.14996
678;0.1428;0.14995
679;0.1426;0.149939
680;0.1787;0.149981
681;0.1436;0.149972
682;0.1428;0.149961
683;0.1787;0.150004
684;0.1358;0.149983
685;0.1267;0.149949
686;0.1399;0.149934
687;0.1265;0.1499
688;0.1278;0.149868
689;0.1924;0.14993
690;0.1265;0.149896
691;0.1264;0.149862
692;0.1494;0.149861
693;0.1555;0.149869
694;0.1267;0.149836
695;0.1614;0.149852
696;0.1265;0.149819
697;0.1263;0.149785
698;0.1929;0.149847
699;0.1269;0.149814
700;0.1266;0.149781
701;0.1566;0.149791
702;0.1369;0.149772
703;0.1266;0.149739
704;0.1265;0.149706
705;0.1267;0.149674
706;0.1265;0.149641
707;0.1601;0.149656
708;0.1266;0.149623
709;0.1264;0.14959
710;0.1413;0.149579
