frame;time
427;1.2e-06
428;7e-07
429;3e-07
430;3e-07
431;2e-07
432;6e-07
433;6e-07
434;7e-07
435;6e-07
436;1.1e-06
437;2.1e-06
438;1.6e-06
439;1.2e-06
440;2.7e-06
441;9e-07
442;1.4e-06
443;4e-07
444;7e-07
445;6e-07
446;4e-07
447;4e-07
448;3e-07
449;7e-07
450;6e-07
451;4e-07
452;6e-07
453;6e-07
454;7e-07
455;7e-07
456;6e-07
457;4e-07
458;3e-07
459;7.2e-06
460;7e-07
461;1.3e-06
462;5e-07
463;6e-07
464;5e-07
465;6e-07
466;6e-07
467;4e-07
468;8e-07
469;1.1e-06
470;9e-07
471;2.1e-06
472;1e-06
473;6e-07
474;4.2e-06
475;3.6e-06
476;1.5e-06
477;4e-07
478;1.1e-06
479;6e-07
480;3e-07
481;3e-07
482;3e-07
483;5e-07
484;5e-06
485;6e-07
486;7e-07
487;7e-07
488;8e-07
489;1.8e-06
490;1.1e-06
491;7e-07
492;4e-07
493;1.3e-06
494;4e-07
495;6e-07
496;5e-07
497;4e-07
498;4e-07
499;2.1e-06
500;4e-07
501;4e-07
502;4e-07
503;6e-07
504;4e-07
505;5e-07
506;9e-07
507;8e-07
508;5e-07
509;3e-07
510;1.3e-06
511;6e-07
512;5e-07
513;6e-07
514;3e-07
515;4e-07
516;3e-07
517;5e-07
518;4e-07
519;4e-07
520;7e-07
521;7e-07
522;9e-07
523;1e-06
524;3.9e-06
525;6e-07
526;5e-07
527;6e-06
528;7e-07
529;9e-07
530;5e-07
531;5e-07
532;6e-07
533;5e-07
534;6e-07
535;4e-07
536;9e-07
537;7e-07
538;7e-07
539;1.2e-06
540;1.5e-06
541;1.2e-06
542;7e-07
543;6e-07
544;1.8e-06
545;5e-07
546;1e-06
547;6e-07
548;3e-07
549;4e-07
550;4e-07
551;6e-07
552;4.7e-06
553;7e-07
554;1.2e-06
555;1.2e-06
556;1.5e-06
557;8e-07
558;8e-07
559;4.6e-06
560;8e-07
561;1.5e-06
562;4e-07
563;2.3e-06
564;1.5e-06
565;3e-07
566;4e-07
567;3e-07
568;1.4e-06
569;3e-07
570;1.4e-06
571;2.3e-06
572;7e-07
573;5e-07
574;4.4e-06
575;2e-06
576;1.6e-06
577;4e-07
578;1.5e-06
579;5e-07
580;4e-07
581;4e-07
582;5e-07
583;6e-07
584;5e-07
585;4e-07
586;4e-07
587;3e-07
588;4e-07
589;6e-07
590;8e-07
591;8e-07
592;5e-07
593;4e-07
594;6e-07
595;1.3e-06
596;4e-07
597;8e-07
598;4e-07
599;3e-07
600;7e-07
601;3e-07
602;5e-07
603;5e-07
604;5e-07
605;4e-07
606;8e-07
607;1.7e-06
608;1.1e-06
609;7e-07
610;7e-07
611;4e-07
612;1.2e-06
613;3e-07
614;4e-07
615;6e-07
616;3e-07
617;4e-07
618;3e-07
619;3e-07
620;5e-07
621;4e-07
622;3e-07
623;3e-07
624;5e-07
625;7e-07
626;2.1e-06
627;3e-07
628;4e-07
629;1.2e-06
630;4e-07
631;3e-07
632;4e-07
633;2e-07
634;4e-07
635;4e-07
636;3e-07
637;1e-06
638;4e-07
639;4e-07
640;5e-07
641;6e-07
642;9e-07
643;1.2e-06
644;5e-07
645;5e-07
646;7.1e-06
647;6e-07
648;7e-07
649;4e-07
650;4e-07
651;6e-07
652;5e-07
653;3e-07
654;4e-07
655;3e-07
656;4e-07
657;1.1e-06
658;8e-07
659;6e-07
660;4.3e-06
661;2.08e-05
662;7e-07
663;1.5e-06
664;4e-07
665;7e-07
666;5e-07
667;4e-07
668;8e-07
669;4e-07
670;6e-07
671;5.1e-06
672;5e-07
673;1.1e-06
674;8e-07
675;5e-07
676;1.1e-06
677;1.3e-06
678;7e-07
679;4e-07
680;1.3e-06
681;4e-07
682;3e-07
683;1.4e-06
684;2e-07
685;4e-07
686;3e-07
687;3e-07
688;4e-07
689;4e-07
690;4e-07
691;4e-07
692;7e-07
693;7e-07
694;9e-07
695;5e-07
696;8e-07
697;1.9e-06
698;7e-07
699;4e-07
700;3e-07
701;5e-07
702;6e-07
703;5e-07
704;4e-07
705;5e-07
706;3e-07
707;3e-07
708;7e-07
709;8e-07
710;5e-07
711;7e-07
712;4e-07
713;8e-07
714;1.3e-06
715;3e-07
716;6e-07
717;8e-07
718;4e-07
719;4e-07
720;3e-07
721;5e-07
722;6e-07
723;5e-07
724;1e-06
725;4e-07
726;7e-07
727;8e-07
728;2.5e-06
729;2.06e-05
730;4e-07
731;1.2e-06
732;6e-07
733;4e-07
734;4e-07
735;4e-07
736;4e-07
737;4e-07
738;3e-07
739;4e-07
740;3e-07
741;3e-07
742;4e-07
743;6e-07
744;6e-07
745;7e-07
746;1.2e-06
747;4e-07
748;1.2e-06
749;3e-07
750;4e-07
751;3e-07
752;3e-07
753;3e-07
754;3e-07
755;3e-07
756;4e-07
757;4e-07
758;3e-07
759;5e-07
760;9e-07
761;7e-07
762;9e-07
763;4e-07
764;4e-07
765;5.7e-06
766;5e-07
767;4e-07
768;4e-07
769;6e-07
770;4e-07
771;5e-07
772;4e-07
773;3e-07
774;4e-07
775;2e-07
776;5e-07
777;6e-07
778;5e-07
779;7e-07
780;5e-07
781;6e-07
782;1.4e-06
783;3e-07
784;1e-06
785;4e-07
786;3e-07
787;3e-07
788;3e-07
789;5e-07
790;4.5e-06
791;5e-07
792;6e-07
793;7e-07
794;1.1e-06
795;1.5e-06
796;2.7e-06
797;7e-07
798;4e-07
799;1.2e-06
800;3e-07
801;4e-07
802;4e-07
803;3e-07
804;4e-07
805;3e-07
806;3e-07
807;4e-07
808;4e-07
809;4e-07
810;5e-07
811;5e-07
812;6e-07
813;1.4e-06
814;4e-07
815;4e-07
816;1.7e-06
817;6e-07
818;5e-07
819;4e-07
820;5e-07
821;5e-07
822;5e-07
823;4e-07
824;5e-07
825;3e-07
826;5e-07
827;1.1e-06
828;4.3e-06
829;9e-07
830;6e-07
831;4e-07
832;2.8e-06
833;1.1e-06
834;4e-07
835;0.0004413
836;0.0003582
837;4e-07
838;4e-07
839;4e-07
840;3.8e-06
841;8e-07
842;0.0005271
843;0.0003503
844;4e-07
845;7e-07
846;2.2e-06
847;0.000378
848;2.3e-06
849;4e-07
850;1.4e-06
851;4e-07
852;5e-07
853;4e-07
854;7e-07
855;4e-07
856;4e-07
857;4e-07
858;4e-07
859;5e-07
860;5e-07
861;7e-07
862;7e-07
863;1.1e-06
864;6e-07
865;3e-07
866;4e-07
867;3.6e-06
868;4e-07
869;9e-07
870;4e-07
871;3e-07
872;2e-07
873;4e-07
874;2.06e-05
875;5e-07
876;5e-07
877;6e-07
878;8e-07
879;1e-06
880;4e-07
881;7e-07
882;4e-07
883;1.5e-06
884;5.5e-06
885;0.0091987
886;8e-07
887;6e-07
888;0.000383
889;0.0085532
890;2.9e-06
891;5e-07
892;1.9e-06
893;5e-07
894;6e-07
895;1.9e-06
896;1.9e-06
897;5e-07
898;5e-07
899;6e-07
900;2e-06
901;1.6e-06
902;1.3e-06
903;7e-07
904;7e-07
905;6e-07
906;6e-07
907;1e-06
908;4e-07
909;5e-07
910;9e-07
911;1e-06
912;8e-07
913;1.7e-06
