time;count
0;32
0.01;0
0.02;0
0.03;0
0.04;0
0.05;0
0.06;0
0.07;0
0.08;0
0.09;0
0.1;0
0.11;0
0.12;499
0.13;668
0.14;439
0.15;179
0.16;131
0.17;72
0.18;57
0.19;46
0.2;28
0.21;21
0.22;18
0.23;21
0.24;14
0.25;6
0.26;10
0.27;4
0.28;1
0.29;6
0.3;5
0.31;5
0.32;0
0.33;2
0.34;2
0.35;1
0.36;1
0.37;0
0.38;0
0.39;0
0.4;0
0.41;1
0.42;0
0.43;0
0.44;0
0.45;1
0.46;0
0.47;0
0.48;0
0.49;0
0.5;0
0.51;0
0.52;0
0.53;0
0.54;0
0.55;0
0.56;0
0.57;0
0.58;0
0.59;0
0.6;0
0.61;0
0.62;0
0.63;0
0.64;0
0.65;0
0.66;0
0.67;0
0.68;0
0.69;0
0.7;0
0.71;0
0.72;0
0.73;0
0.74;0
0.75;0
0.76;0
0.77;0
0.78;0
0.79;0
0.8;0
0.81;0
0.82;0
0.83;0
0.84;0
0.85;0
0.86;0
0.87;0
0.88;0
0.89;0
0.9;0
0.91;0
0.92;0
0.93;0
0.94;0
0.95;0
0.96;0
0.97;0
0.98;0
0.99;0
1;0
1.01;0
1.02;0
1.03;0
1.04;0
1.05;0
1.06;0
1.07;0
1.08;0
1.09;0
1.1;0
1.11;0
1.12;0
1.13;0
1.14;0
1.15;0
1.16;0
1.17;0
1.18;0
1.19;0
1.2;0
1.21;0
1.22;0
1.23;0
1.24;0
1.25;0
1.26;0
1.27;0
1.28;0
1.29;0
1.3;0
1.31;0
1.32;0
1.33;0
1.34;0
1.35;0
1.36;0
1.37;0
1.38;0
1.39;0
1.4;0
1.41;0
1.42;0
1.43;0
1.44;0
1.45;0
1.46;0
1.47;0
1.48;0
1.49;0
1.5;0
1.51;0
1.52;0
1.53;0
1.54;0
1.55;0
1.56;0
1.57;0
1.58;0
1.59;0
1.6;0
1.61;0
1.62;0
1.63;0
1.64;0
1.65;0
1.66;0
1.67;0
1.68;0
1.69;0
1.7;0
1.71;0
1.72;0
1.73;0
1.74;0
1.75;0
1.76;0
1.77;0
1.78;0
1.79;0
1.8;2
1.81;7
1.82;8
1.83;1
1.84;1
1.85;3
1.86;1
1.87;5
1.88;6
1.89;2
1.9;1
1.91;10
1.92;9
1.93;2
1.94;1
1.95;0
1.96;0
1.97;2
1.98;5
1.99;3
2;3
2.01;2
2.02;3
2.03;1
2.04;0
2.05;1
2.06;0
2.07;0
2.08;0
2.09;1
2.1;0
2.11;0
2.12;0
2.13;0
2.14;0
2.15;1
2.16;1
2.17;0
2.18;0
2.19;0
2.2;0
2.21;0
2.22;1
2.23;1
2.24;0
2.25;0
2.26;0
2.27;0
2.28;0
2.29;0
2.3;2
2.31;1
2.32;1
2.33;1
2.34;1
2.35;0
2.36;0
2.37;0
2.38;1
2.39;0
2.4;0
2.41;1
2.42;0
2.43;0
2.44;0
2.45;0
2.46;0
2.47;0
2.48;0
2.49;0
2.5;0
2.51;0
2.52;0
2.53;0
2.54;0
2.55;0
2.56;0
2.57;0
2.58;0
2.59;0
2.6;0
2.61;0
2.62;0
2.63;0
2.64;0
2.65;0
2.66;0
2.67;0
2.68;0
2.69;0
2.7;0
2.71;0
2.72;0
2.73;0
2.74;0
2.75;0
2.76;0
2.77;0
2.78;0
2.79;0
2.8;0
2.81;0
2.82;0
2.83;0
2.84;0
2.85;0
2.86;0
2.87;0
2.88;0
2.89;0
2.9;0
2.91;0
2.92;0
2.93;0
2.94;0
2.95;0
2.96;0
2.97;0
2.98;0
2.99;0
3;0
3.01;0
3.02;0
3.03;0
3.04;0
3.05;0
3.06;0
3.07;0
3.08;0
3.09;0
3.1;0
3.11;0
3.12;0
3.13;0
3.14;0
3.15;0
3.16;0
3.17;0
3.18;0
3.19;0
3.2;0
3.21;0
3.22;0
3.23;0
3.24;0
3.25;0
3.26;0
3.27;0
3.28;0
3.29;0
3.3;0
3.31;0
3.32;0
3.33;0
3.34;0
3.35;0
3.36;0
3.37;0
3.38;0
3.39;0
3.4;0
3.41;0
3.42;0
3.43;0
3.44;10
3.45;5
3.46;2
3.47;5
3.48;9
3.49;6
3.5;6
3.51;8
3.52;12
3.53;13
3.54;30
3.55;26
3.56;19
3.57;23
3.58;21
3.59;19
3.6;21
3.61;18
3.62;23
3.63;25
3.64;49
3.65;59
3.66;30
3.67;34
3.68;45
3.69;41
3.7;43
3.71;34
3.72;39
3.73;39
3.74;46
3.75;40
3.76;46
3.77;50
3.78;50
3.79;58
3.8;41
3.81;36
3.82;33
3.83;43
3.84;38
3.85;41
3.86;35
3.87;45
3.88;23
3.89;53
3.9;49
3.91;24
3.92;38
3.93;38
3.94;23
3.95;55
3.96;35
3.97;40
3.98;30
3.99;25
4;31
4.01;28
4.02;30
4.03;26
4.04;34
4.05;33
4.06;27
4.07;31
4.08;16
4.09;44
4.1;22
4.11;24
4.12;26
4.13;17
4.14;21
4.15;21
4.16;18
4.17;20
4.18;18
4.19;15
4.2;14
4.21;8
4.22;7
4.23;8
4.24;14
4.25;13
4.26;8
4.27;5
4.28;5
4.29;5
4.3;9
4.31;3
4.32;4
4.33;3
4.34;7
4.35;6
4.36;10
4.37;3
4.38;3
4.39;5
4.4;5
4.41;3
4.42;0
4.43;3
4.44;4
4.45;11
4.46;3
4.47;1
4.48;4
4.49;4
4.5;3
4.51;6
4.52;4
4.53;2
4.54;5
4.55;7
4.56;6
4.57;4
4.58;4
4.59;3
4.6;4
4.61;2
4.62;4
4.63;1
4.64;11
4.65;2
4.66;4
4.67;6
4.68;3
4.69;2
4.7;9
4.71;3
4.72;3
4.73;4
4.74;4
4.75;3
4.76;5
4.77;5
4.78;6
4.79;6
4.8;3
4.81;1
4.82;6
4.83;5
4.84;2
4.85;3
4.86;2
4.87;1
4.88;3
4.89;3
4.9;1
4.91;2
4.92;2
4.93;3
4.94;0
4.95;0
4.96;1
4.97;0
4.98;1
4.99;39
