frame;time;average
0;0.0088397;inf
1;0.0088548;0.0176945
2;0.0083838;0.0130392
3;0.0089639;0.0116807
4;0.0087469;0.0109473
5;0.008683;0.0104944
6;0.0081281;0.0101
7;0.0083275;0.00984681
8;0.0081111;0.00962985
9;0.0082904;0.00948102
10;0.0082345;0.00935637
11;0.0081621;0.0092478
12;0.0085995;0.00919377
13;0.0082283;0.00911951
14;0.0081708;0.00905174
15;0.008205;0.00899529
16;0.0082121;0.00894634
17;0.0005358;0.00845161
18;0.0086214;0.00846104
19;0.0090656;0.00849286
20;0.0085003;0.00849323
21;0.0086577;0.00850106
22;0.0083148;0.0084926
23;0.0003787;0.00813982
24;0.0082933;0.00814621
25;0.0003654;0.00783498
26;0.0080169;0.00784198
27;0.0086348;0.00787134
28;0.0003722;0.00760351
29;0.0004536;0.00735697
30;0.0085845;0.00739788
31;0.0084554;0.007432
32;0.0026376;0.00728217
33;0.0003932;0.00707342
34;7.2e-06;0.00686559
35;9e-07;0.00666945
36;7e-07;0.00648421
37;7e-07;0.00630898
38;7e-07;0.00614297
39;8e-07;0.00598548
40;1.4e-06;0.00583588
41;1.1e-06;0.00569357
42;0.0092918;0.00577924
43;1.2e-06;0.00564487
44;1e-06;0.0055166
45;1e-06;0.00539403
46;7e-07;0.00527678
47;7e-07;0.00516452
48;7e-07;0.00505694
49;7e-07;0.00495376
50;6e-07;0.00485469
51;1.8e-06;0.00475954
52;6e-07;0.00466802
53;8e-07;0.00457996
54;5e-07;0.00449515
55;5e-07;0.00441343
56;5e-07;0.00433463
57;5e-07;0.00425859
58;5e-07;0.00418518
59;8e-07;0.00411426
60;9e-07;0.0040457
61;1e-06;0.00397939
62;7e-07;0.00391522
63;5e-07;0.00385308
64;5e-07;0.00379289
65;4e-07;0.00373454
66;5e-07;0.00367796
67;4e-07;0.00362307
68;1.9e-06;0.00356982
69;6e-07;0.00351809
70;5e-07;0.00346784
71;4e-07;0.00341901
72;4e-07;0.00337153
73;5e-07;0.00332535
74;6e-07;0.00328042
75;4e-07;0.00323668
76;5e-07;0.0031941
77;1.3e-06;0.00315264
78;1.3e-06;0.00311224
79;1.1e-06;0.00307285
80;1.1e-06;0.00303446
81;6e-07;0.002997
82;7e-07;0.00296046
83;2.3e-06;0.00292482
84;3.2e-06;0.00289004
85;6.6e-06;0.00285612
86;8e-07;0.00282292
87;9e-07;0.00279048
88;7e-07;0.00275878
89;1.1e-06;0.00272779
90;6e-07;0.00269749
91;7e-07;0.00266785
92;7e-07;0.00263886
93;0.0004925;0.00261578
94;1.6e-06;0.00258797
95;5.2e-06;0.00256079
96;1.1e-06;0.00253412
97;7e-07;0.00250801
98;7e-07;0.00248242
99;7e-07;0.00245735
100;9e-07;0.00243279
101;1e-06;0.00240871
102;3.9e-06;0.00238514
103;1.5e-06;0.00236199
104;1.3e-06;0.00233929
105;1.3e-06;0.00231703
106;1.5e-06;0.00229518
107;1.5e-06;0.00227375
108;1.3e-06;0.00225271
109;1.4e-06;0.00223205
110;7e-07;0.00221177
111;1.8e-06;0.00219186
112;1.4e-06;0.0021723
113;1.4e-06;0.00215309
114;2.5e-06;0.00213422
115;2.4e-06;0.00211569
116;3.8e-06;0.00209748
117;1.4e-06;0.00207956
118;1.7e-06;0.00206196
119;1.4e-06;0.00204464
120;5e-07;0.00202761
121;5e-07;0.00201085
122;4e-07;0.00199437
123;4e-07;0.00197816
124;4e-07;0.00196221
125;3e-07;0.00194652
126;7e-07;0.00193107
127;5e-07;0.00191587
128;4e-07;0.00190091
129;3e-07;0.00188617
130;7e-07;0.00187167
131;1.1e-06;0.00185739
132;1e-06;0.00184333
133;1e-06;0.00182948
134;4e-07;0.00181583
135;4e-07;0.00180238
136;6e-06;0.00178917
137;7e-07;0.00177612
138;6e-07;0.00176325
139;6e-07;0.00175057
140;5e-07;0.00173807
141;5e-07;0.00172574
142;5e-07;0.0017136
143;6e-07;0.00170162
144;9e-07;0.00168981
145;6e-07;0.00167816
146;7e-07;0.00166667
147;1.2e-06;0.00165534
148;7e-07;0.00164416
149;2.1e-06;0.00163314
150;9e-07;0.00162225
151;7e-07;0.00161152
152;5e-07;0.00160092
153;1.8e-06;0.00159047
154;7e-07;0.00158014
155;5e-07;0.00156995
156;4e-07;0.00155989
157;3e-07;0.00154996
158;4e-07;0.00154015
159;6e-07;0.00153047
160;4e-07;0.0015209
161;5.4e-06;0.00151149
162;6e-07;0.00150216
163;2e-06;0.00149296
164;9e-07;0.00148386
165;5.1e-06;0.0014749
166;1.6e-06;0.00146602
167;5e-07;0.00145725
168;2e-06;0.00144859
169;7e-07;0.00144002
170;1.4e-06;0.00143156
171;5e-07;0.00142319
172;4e-07;0.00141492
173;4e-07;0.00140674
174;4e-07;0.00139866
175;3e-07;0.00139067
176;4e-07;0.00138277
177;3e-07;0.00137496
178;6e-07;0.00136724
179;4e-07;0.0013596
180;7e-07;0.00135205
181;8e-07;0.00134459
182;6e-07;0.0013372
183;9e-07;0.0013299
184;5e-07;0.00132267
185;4e-07;0.00131553
186;4e-07;0.00130846
187;2e-06;0.00130147
188;7e-07;0.00129455
189;5e-07;0.0012877
190;6e-07;0.00128093
191;5e-07;0.00127423
192;5e-07;0.00126759
193;6e-07;0.00126103
194;6e-07;0.00125453
195;8e-07;0.0012481
196;5e-07;0.00124173
