time;count
0;3790
0.01;209
0.02;43
0.03;38
0.04;9
0.05;3
0.06;8
0.07;4
0.08;2
0.09;4
0.1;8
0.11;10
0.12;8
0.13;11
0.14;13
0.15;12
0.16;16
0.17;14
0.18;9
0.19;4
0.2;9
0.21;15
0.22;12
0.23;11
0.24;9
0.25;8
0.26;16
0.27;7
0.28;6
0.29;12
0.3;5
0.31;4
0.32;9
0.33;1
0.34;1
0.35;3
0.36;5
0.37;7
0.38;7
0.39;3
0.4;8
0.41;6
0.42;13
0.43;3
0.44;17
0.45;8
0.46;12
0.47;9
0.48;8
0.49;4
0.5;7
0.51;10
0.52;13
0.53;9
0.54;5
0.55;10
0.56;10
0.57;6
0.58;8
0.59;8
0.6;11
0.61;14
0.62;8
0.63;7
0.64;6
0.65;7
0.66;1
0.67;5
0.68;7
0.69;6
0.7;11
0.71;9
0.72;12
0.73;4
0.74;6
0.75;8
0.76;4
0.77;4
0.78;7
0.79;9
0.8;10
0.81;7
0.82;4
0.83;6
0.84;11
0.85;14
0.86;3
0.87;7
0.88;2
0.89;6
0.9;4
0.91;5
0.92;6
0.93;5
0.94;3
0.95;6
0.96;3
0.97;4
0.98;4
0.99;4
1;3
1.01;4
1.02;7
1.03;5
1.04;1
1.05;5
1.06;5
1.07;4
1.08;4
1.09;6
1.1;1
1.11;3
1.12;5
1.13;4
1.14;4
1.15;4
1.16;3
1.17;9
1.18;6
1.19;3
1.2;4
1.21;2
1.22;2
1.23;4
1.24;4
1.25;6
1.26;2
1.27;1
1.28;3
1.29;2
1.3;2
1.31;2
1.32;2
1.33;5
1.34;1
1.35;1
1.36;3
1.37;4
1.38;2
1.39;0
1.4;0
1.41;0
1.42;1
1.43;1
1.44;2
1.45;3
1.46;3
1.47;0
1.48;1
1.49;1
1.5;5
1.51;1
1.52;2
1.53;3
1.54;2
1.55;1
1.56;0
1.57;2
1.58;2
1.59;1
1.6;1
1.61;1
1.62;2
1.63;0
1.64;2
1.65;0
1.66;0
1.67;1
1.68;1
1.69;1
1.7;0
1.71;2
1.72;0
1.73;3
1.74;0
1.75;0
1.76;0
1.77;0
1.78;0
1.79;0
1.8;2
1.81;0
1.82;0
1.83;0
1.84;0
1.85;1
1.86;1
1.87;0
1.88;0
1.89;1
1.9;0
1.91;0
1.92;1
1.93;2
1.94;0
1.95;0
1.96;0
1.97;0
1.98;0
1.99;0
2;0
2.01;1
2.02;0
2.03;0
2.04;0
2.05;1
2.06;0
2.07;0
2.08;0
2.09;0
2.1;0
2.11;0
2.12;0
2.13;1
2.14;0
2.15;0
2.16;0
2.17;0
2.18;0
2.19;0
2.2;0
2.21;0
2.22;0
2.23;0
2.24;0
2.25;1
2.26;0
2.27;1
2.28;0
2.29;2
2.3;0
2.31;0
2.32;0
2.33;0
2.34;0
2.35;0
2.36;0
2.37;0
2.38;0
2.39;0
2.4;1
2.41;0
2.42;0
2.43;0
2.44;1
2.45;0
2.46;0
2.47;0
2.48;0
2.49;0
2.5;0
2.51;1
2.52;0
2.53;0
2.54;0
2.55;0
2.56;0
2.57;0
2.58;0
2.59;0
2.6;0
2.61;0
2.62;0
2.63;0
2.64;0
2.65;0
2.66;0
2.67;0
2.68;0
2.69;0
2.7;0
2.71;0
2.72;0
2.73;0
2.74;0
2.75;0
2.76;0
2.77;0
2.78;0
2.79;0
2.8;0
2.81;0
2.82;0
2.83;0
2.84;0
2.85;0
2.86;0
2.87;0
2.88;0
2.89;0
2.9;0
2.91;0
2.92;0
2.93;0
2.94;0
2.95;0
2.96;0
2.97;0
2.98;0
2.99;0
3;0
3.01;0
3.02;0
3.03;0
3.04;0
3.05;0
3.06;0
3.07;0
3.08;0
3.09;0
3.1;0
3.11;0
3.12;0
3.13;0
3.14;0
3.15;0
3.16;0
3.17;0
3.18;0
3.19;0
3.2;0
3.21;0
3.22;0
3.23;0
3.24;0
3.25;0
3.26;0
3.27;0
3.28;0
3.29;0
3.3;0
3.31;0
3.32;0
3.33;0
3.34;0
3.35;0
3.36;0
3.37;0
3.38;0
3.39;0
3.4;0
3.41;0
3.42;0
3.43;0
3.44;0
3.45;0
3.46;0
3.47;0
3.48;0
3.49;0
3.5;0
3.51;0
3.52;0
3.53;0
3.54;0
3.55;0
3.56;0
3.57;0
3.58;0
3.59;0
